model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,mae_mean,kappa_mean,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean
jina-v5-small,C3,html_css,ordinal,none,0.5071115448378445,0.0159886666118617,0.7505880361230483,0.2459778557361212,0.4514799916570632,0.6268540849386789,0.8362466240407264,0.5345762396027426,0.0307692307692307
qwen3-4b,C4,html_css,nominal,none,0.5031765099111801,0.005800707656926,0.7395899987081402,0.268222458476393,0.4524881855918241,0.5978869388487132,0.8142314234166742,0.5698184466101023,0.0307692307692307
cohere,C3,html_css,ordinal,none,0.4991691883539493,0.0222716738951046,0.7318658897742327,0.2713808917958664,0.4254996291839011,0.5982200823508211,0.8150348778810879,0.5280371777992728,0.0553846153846153
cohere,C4,html_css,ordinal,none,0.4935612867775056,0.0104519601087774,0.7306416702579055,0.2723257701567826,0.420146793691444,0.5878091804218916,0.8156547234006022,0.5250669575732432,0.0457142857142857
jina-v5-small,C4,html_css,ordinal,none,0.4734660223172542,0.0145226660742583,0.7206294637054664,0.2743758698731945,0.3832008192008733,0.5623119872419113,0.8168784475071942,0.4839044237506806,0.0307692307692307
voyage,C2a,javascript,ordinal,none,0.5995538124031382,0.024980102914293,0.7937103560845393,0.2051083186642731,0.5465873682909747,0.7273212923282947,0.8667382129153802,0.526155744368878,0.2779999999999999
openai-large,C2b,javascript,ordinal,concat,0.5927619229122622,0.0301181366966037,0.7847981547568312,0.2175741150635272,0.5297807911809388,0.7010946992353839,0.8581987861312264,0.5331338934229949,0.2786203128594432
kalm-12b,C2a,javascript,ordinal,none,0.592121564559652,0.0234732971076305,0.792055604933843,0.2118936408067941,0.5478665226336297,0.7325142943028696,0.8632914890796897,0.5291101778930931,0.2435702969629554
voyage,C1a,javascript,ordinal,none,0.5853760676789755,0.0440022165538529,0.7890321785593961,0.209056266946188,0.5362479951255334,0.7277458209736019,0.8636286907275258,0.5102778235106648,0.2398519355041094
gemini,C2a,javascript,ordinal,none,0.5814121002533603,0.0274196539132465,0.7785442727642995,0.2267228780073648,0.5197149777289465,0.7111986741379468,0.8535810146249407,0.5020259816099102,0.2588427306406433
qwen3-8b,C2a,javascript,ordinal,none,0.5805290153013972,0.0240103599290485,0.7847670720699675,0.2189936734231486,0.5320042471625814,0.7151187782709499,0.8583537051120347,0.5211893116586607,0.2274542661639436
kalm-12b,C2b,javascript,ordinal,concat,0.579544146015761,0.031937863100548,0.783362586426662,0.2197853047139346,0.5275915084683606,0.7230815331915513,0.8566297133704577,0.5112622723669352,0.2272030651340996
qwen3-8b,C1a,javascript,ordinal,none,0.571370617168169,0.0328171034802799,0.7671657716882117,0.2360338512943215,0.493529625614499,0.6745722624003486,0.8454459291534,0.499481872426845,0.2659824046920821
kalm-12b,C1a,javascript,ordinal,none,0.5669612503873896,0.0313946371523661,0.7708288677343572,0.2325649401577038,0.5017956824401939,0.6972004911393727,0.8482645130149258,0.4901175147798365,0.2322624826154237
openai-large,C2a,javascript,nominal,none,0.5661763927843684,0.0187908586830083,0.8012968514263312,0.2038494767689393,0.574274074905408,0.730237564295747,0.8672520930921583,0.5916206756543302,0.075595238095238
openai-large,C1b,javascript,ordinal,concat,0.5651053193575623,0.0238435215211066,0.772561472633258,0.2290921698341047,0.501002540451695,0.6877476078666276,0.8509474586421646,0.4998637550526171,0.2218624558688397
gemini,C1a,javascript,ordinal,none,0.565085089270406,0.0139242222763074,0.7667842143620461,0.239191288694574,0.4948892557832028,0.688720016209696,0.8440094889988025,0.4913679676226515,0.2362428842504743
qwen3-8b,C2b,javascript,ordinal,concat,0.5630943898897549,0.0187352117692447,0.7755170408127195,0.2267268616842487,0.5103627814922168,0.6992399989932349,0.8521249458117699,0.5050052887466893,0.196007326007326
openai-small,C2a,javascript,ordinal,none,0.5618651566125082,0.0138683796202184,0.7568150639986814,0.2502347879563488,0.4742562387203708,0.6699680308448012,0.835976478938776,0.4778984204703391,0.2636176961961166
qwen3-8b,C1b,javascript,ordinal,concat,0.5582283962398734,0.0272998987497288,0.769940077206641,0.2325664340365353,0.4961961613870274,0.6872128460242178,0.8495172255784922,0.489641906815177,0.2065416065416065
voyage,C3,javascript,ordinal,none,0.5554826590566847,0.0389766318620616,0.7620775239279403,0.23429547429408,0.4725470597577855,0.6779231040222521,0.8472380590324832,0.4508757533652404,0.2458937198067633
openai-large,C1a,javascript,ordinal,none,0.5536634930244301,0.0238521959506252,0.7628243129543002,0.2425030935740801,0.4849648898653728,0.6638247181497083,0.8424712905577391,0.4989193278693232,0.2094386355209492
gemini,C2b,javascript,ordinal,concat,0.5513239261710479,0.01152893811055,0.7642496033352486,0.2431350043197996,0.4883637019045073,0.6882076952415568,0.8429413552984777,0.4822393457662602,0.1919073083778966
qwen3-4b,C1b,javascript,ordinal,concat,0.5499745470932312,0.0191070360753165,0.7550285113717102,0.2477116266099656,0.4657126477638632,0.6396568280111739,0.838284558040322,0.4877687681333948,0.2341880341880342
kalm-12b,C1b,javascript,ordinal,concat,0.5470806302225768,0.0175700802424848,0.7705486277268638,0.2314589718627922,0.4988791853735136,0.6993981777242658,0.8503053921113943,0.4807951962653746,0.157823754789272
openai-small,C1a,javascript,ordinal,none,0.5466476643264002,0.0126521971841569,0.7543080959328309,0.2538630461683253,0.4704601414976734,0.6769076376817041,0.8338133824034083,0.4675153230321851,0.2083543141883031
voyage,C1b,javascript,ordinal,average,0.5462376460721016,0.0228897836850698,0.7642157650224067,0.2342987110315482,0.4785648691217314,0.6873938638469355,0.8481208229709916,0.4559388214470877,0.1934970760233918
voyage,C2b,javascript,ordinal,average,0.5461753354314458,0.0188270650730891,0.7698634341039259,0.2284615039874116,0.4914363145074373,0.6946581550290849,0.8520785483412915,0.4710812534224861,0.1668833849329205
cohere,C2a,javascript,ordinal,none,0.5403710217943593,0.0098066851646558,0.7535016246017309,0.2538649135168646,0.4657434999065006,0.6755822342313703,0.8356078442791386,0.4546494653471901,0.1956445433197379
qwen3-0.6b,C2b,javascript,ordinal,average,0.5386089070718997,0.0412575309025763,0.7514644218364244,0.2473930569491508,0.4493628694551385,0.6476909611875803,0.8384765852697743,0.4530977449207768,0.2151703369094673
